account,total_pnl,avg_pnl,pnl_volatility,trade_count,total_volume,avg_trade_size,avg_leverage,max_leverage,first_trade,last_trade,profitable,trading_days
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,145.48174829898866,1374.0264020518678,14733,56543565.23,3837.885375008484,1.0,1.0,2023-11-14 22:13:20,2025-06-15 15:06:40,True,578
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,419.1277684596647,4692.452328769463,3818,61697263.97,16159.57673389209,1.0,1.0,2024-10-27 03:33:20,2025-02-19 21:20:00,True,115
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,44.364090516232544,567.7627628499143,21192,68036340.24,3210.472831257078,1.0,1.0,2025-02-19 21:20:00,2025-06-15 15:06:40,True,115
