account,total_pnl,avg_pnl,pnl_volatility,trade_count,total_volume,avg_trade_size,avg_leverage,max_leverage,first_trade,last_trade,profitable,trading_days
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,419.1277684596647,4692.452328769463,3818,61697263.97,16159.57673389209,1.0,1.0,2024-10-27 03:33:20,2025-02-19 21:20:00,True,115
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,6.5776539167582415,134.07347277629353,7280,12035487.66,1653.2263269230768,1.0,1.0,2024-10-27 03:33:20,2025-06-15 15:06:40,True,231
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,-18.49204287687057,542.1826592941622,3809,33873440.42,8893.000897873459,1.0,1.0,2024-07-03 09:46:40,2025-06-15 15:06:40,False,347
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,9.951529904139434,113.26935264594304,13311,6757022.1,507.6269326121253,1.0,1.0,2024-10-27 03:33:20,2025-06-15 15:06:40,True,231
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,52.0710111126891,255.82909123366827,3239,10166880.2,3138.894782340228,1.0,1.0,2024-10-27 03:33:20,2025-06-15 15:06:40,True,231
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,-38.28662574969325,558.7787526232372,815,1409902.0,1729.9411042944785,1.0,1.0,2023-03-28 10:40:00,2025-06-15 15:06:40,False,810
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999997,4.0281190682641395,730.495483644371,3589,17193375.42,4790.5754862078575,1.0,1.0,2024-10-27 03:33:20,2025-02-19 21:20:00,True,115
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,161.13327482831323,1279.8557881354639,332,1143896.46,3445.471265060241,1.0,1.0,2024-10-27 03:33:20,2025-02-19 21:20:00,True,115
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,520.9023308929503,2228.336140282739,383,1987527.6099999999,5189.367127937337,1.0,1.0,2024-10-27 03:33:20,2025-02-19 21:20:00,True,115
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,336.735547567502,1649.4975803457908,1237,2966109.22,2397.824753435732,1.0,1.0,2024-03-09 16:00:00,2025-06-15 15:06:40,True,462
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,12.130967972884141,88.29284150392282,8519,4408828.9,517.5289235825802,1.0,1.0,2024-10-27 03:33:20,2025-06-15 15:06:40,True,231
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,155.58931373806246,855.3540027082513,4356,39572949.25,9084.699093204776,1.0,1.0,2024-10-27 03:33:20,2025-06-15 15:06:40,True,231
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,40.740489150316456,656.6936282172401,7584,129672529.28,17098.171054852322,1.0,1.0,2024-03-09 16:00:00,2025-06-15 15:06:40,True,462
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,68.68441935403726,639.4024436908079,12236,420876556.36,34396.58028440667,1.0,1.0,2024-10-27 03:33:20,2025-06-15 15:06:40,True,231
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,111.51919668923077,468.9959817825797,975,728057.51,746.7256512820513,1.0,1.0,2024-10-27 03:33:20,2025-06-15 15:06:40,True,231
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,270.0349471163522,2525.2404372348287,1590,11474500.92,7216.667245283019,1.0,1.0,2024-10-27 03:33:20,2025-06-15 15:06:40,True,231
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,403011.504159,281.8262266846154,1591.523957653427,1430,3051144.33,2133.6673636363635,1.0,1.0,2024-10-27 03:33:20,2025-06-15 15:06:40,True,231
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,38.3195599627009,172.52077341762578,9893,25729497.24,2600.7780491256444,1.0,1.0,2024-03-09 16:00:00,2025-06-15 15:06:40,True,462
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,9.557692781911483,72.5611952371814,1559,5844484.45,3748.8675112251444,1.0,1.0,2025-02-19 21:20:00,2025-06-15 15:06:40,True,115
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.124781,-36.43145507085416,1647.7789842055993,4601,10143758.13,2204.6855314062163,1.0,1.0,2024-10-27 03:33:20,2025-06-15 15:06:40,False,231
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,34.2823955552067,325.75560971336085,1911,11999173.37,6279.002286760858,1.0,1.0,2024-10-27 03:33:20,2025-06-15 15:06:40,True,231
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,2.928191023869849,68.6130409480178,14998,12304786.84,820.4285131350847,1.0,1.0,2024-07-03 09:46:40,2025-06-15 15:06:40,True,347
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,41.47409637418087,220.3877348338997,3052,10992355.74,3601.689298820446,1.0,1.0,2024-10-27 03:33:20,2025-06-15 15:06:40,True,231
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,6.81210350887536,68.2349036218229,15605,19868207.98,1273.1950003204101,1.0,1.0,2024-10-27 03:33:20,2025-06-15 15:06:40,True,231
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,174.6918088057554,976.068751360001,417,861809.4,2066.6892086330936,1.0,1.0,2024-07-03 09:46:40,2025-02-19 21:20:00,True,231
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,120.50731710657195,474.8098365007934,563,1677425.72,2979.4417761989343,1.0,1.0,2024-10-27 03:33:20,2025-06-15 15:06:40,True,231
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,40.746875941947565,288.26612386189584,534,4448323.26,8330.193370786517,1.0,1.0,2024-10-27 03:33:20,2025-02-19 21:20:00,True,115
